tag	sid	groups	boost	messageSource	status	expected_boost	idle
1-CN	ses_0abd914ccffe4c0oMPE9dnYFO3	architecture	brainstorming	bridge	MATCH	brainstorming	False
1-EN	ses_0abd914c5ffeENT2JPsq5N5RhD	cicd	ci-cd-guardrails,cross-directory-ci	bridge	MATCH	ci-cd-guardrails,cross-directory-ci	False
2-CN	ses_0abd914beffe0C1veD8yr7uad6	source-edit	codegraph-first	bridge	MATCH	codegraph-first	False
2-EN	ses_0abd914b7ffefAeDybKgBbo5UI	source-edit	codegraph-first	bridge	MATCH	codegraph-first	False
3-CN	ses_0abd9148bffe3cxZEBanGkh7m6	source-edit	codegraph-first	bridge	MATCH	codegraph-first	False
3-EN	ses_0abd91465ffeVgGxMHyB2i8yLl	source-edit	codegraph-first	bridge	MATCH	codegraph-first	False
4-CN	ses_0abd9145fffeVX5sh4TunKwrah	cicd,dispatch-protocol	ci-cd-guardrails,cross-directory-ci,dispatch-protocol,multi-agent-orchestration	bridge	MATCH	ci-cd-guardrails,cross-directory-ci,dispatch-protocol,multi-agent-orchestration	True
4-EN	ses_0abd9144effe3GO0JjAieZJEcZ	cicd,dispatch-protocol	ci-cd-guardrails,cross-directory-ci,dispatch-protocol,multi-agent-orchestration	bridge	MATCH	ci-cd-guardrails,cross-directory-ci,dispatch-protocol,multi-agent-orchestration	False
5-CN	ses_0abd91448ffeE5Yh2dO98kyKKI	none	none	bridge	MATCH	none	False
5-EN	ses_0abd91437ffeD5hUBAxVwbACIh	none	none	bridge	MATCH	none	False
6-CN	ses_0abd91432ffeJ2zm8n3JYkX25f	cicd	ci-cd-guardrails,cross-directory-ci	bridge	MATCH	ci-cd-guardrails,cross-directory-ci	False
6-EN	ses_0abd9141cffe3ecaOsQ3IGFfHY	cicd	ci-cd-guardrails,cross-directory-ci	bridge	MATCH	ci-cd-guardrails,cross-directory-ci	True
7-CN	ses_0abd913ffffeJTftdhG2jXBOLk	database	cicd-database-seeding,sqlite-bloat-investigation	bridge	MATCH	cicd-database-seeding,sqlite-bloat-investigation	False
7-EN	ses_0abd913e9ffeJmbaprxDl3wte1	database	cicd-database-seeding,sqlite-bloat-investigation	bridge	MATCH	cicd-database-seeding,sqlite-bloat-investigation	False
8-CN	ses_0abd913e1ffezauAEu6q79PD4e	architecture,library-dep,source-edit	brainstorming,codegraph-first,context7-first	bridge	MATCH	codegraph-first,brainstorming,context7-first	False
8-EN	ses_0abd913cdffeAoAxJGaxLUBS70	cicd	ci-cd-guardrails,cross-directory-ci	bridge	MATCH	ci-cd-guardrails,cross-directory-ci	False
9-CN	ses_0abd913b8ffeAyuc2mWyNV0nU6	none	none	bridge	MATCH	none	False
9-EN	ses_0abd913b0ffe20nqMeZnvxrjUe	dispatch-protocol	dispatch-protocol,multi-agent-orchestration	bridge	MATCH	dispatch-protocol,multi-agent-orchestration	False
10-CN	ses_0abd9139dffecMoFKCN0hGSUcc	none	none	bridge	MATCH	none	False
10-EN	ses_0abd91387ffeiY1CYFY3Zy10r5	none	none	bridge	MATCH	none	False
11-CN	ses_0abd91370ffecYf7Do5gzTar1y	source-edit	codegraph-first	bridge	MATCH	codegraph-first	False
11-EN	ses_0abd9136cffeN4CLX17J0oL6Rw	source-edit	codegraph-first	bridge	MATCH	codegraph-first	False
12-CN	ses_0abd91340ffeDwvnHU3UikYqpK	none	none	bridge	MATCH	none	True
12-EN	ses_0abd9133bffePeSW2PTJwMOlt5	none	none	bridge	MATCH	none	True
