1-CN	ses_0b165993bffea0jeCuVULdX6QK	architecture	brainstorming
1-EN	ses_0b1655aa3ffeRgSUq6osTn07ds	cicd	ci-cd-guardrails,cross-directory-ci
2-CN	ses_0b1651c08ffe8rD1elQ5R18uxm	source-edit	codegraph-first
2-EN	ses_0b164dd76fferFcJSqPh6ncSVz	source-edit	codegraph-first
3-CN	ses_0b1649ee0ffeHfqdf5owl1N83c	source-edit,cicd	codegraph-first,ci-cd-guardrails,cross-directory-ci
3-EN	ses_0b1646050ffexIObDuDvxOK2Iq	architecture	brainstorming
4-CN	ses_0b16421b9ffeE80fEqlwt6xMqh	cicd	ci-cd-guardrails,cross-directory-ci
4-EN	ses_0b163e6f5ffeiGxLSRSyUcosMB	cicd	ci-cd-guardrails,cross-directory-ci
5-CN	ses_0b163a869ffeoup94I4AL6AD1Y	none	none
5-EN	ses_0b16369d9ffe6VcMMNWL0reNCf	none	none
6-CN	ses_0b1632b42ffeHcCwZugidf0syX	cicd	ci-cd-guardrails,cross-directory-ci
6-EN	ses_0b162ecb3ffeetJsjka3i3DrzL	cicd	ci-cd-guardrails,cross-directory-ci
7-CN	ses_0b162ae26ffe5o36UG5gMoGf6D	database,library-dep	cicd-database-seeding,sqlite-bloat-investigation,context7-first
7-EN	ses_0b1626f99ffeHunrj6ccqABuzN	database	cicd-database-seeding,sqlite-bloat-investigation
8-CN	ses_0b1623100ffeeUMomQz3PgY1gr	source-edit,architecture,library-dep	codegraph-first,brainstorming,context7-first
8-EN	ses_0b161f266ffeiqD1maBPrQdtR2	cicd	ci-cd-guardrails,cross-directory-ci
9-CN	ses_0b161b3d3ffeJbFoqBYHHYN6wN	none	none
9-EN	ses_0b1617542ffeNUgM0RfBYpI85J	none	none
10-CN	ses_0b16136a8ffeAIJ2ZHGDa4Po78	none	none
10-EN	ses_0b160f817ffe30G80TaATiIbDv	none	none
11-CN	ses_0b160b981ffeALCnwXwsbXsoQx	source-edit	codegraph-first
11-EN	ses_0b1607aedffeDgYCjDFbRxfyUm	source-edit	codegraph-first
12-CN	ses_0b1603c54ffeKN1qqEKISq3lad	none	none
12-EN	ses_0b15ffdbfffeU37ouzqG1y3kR4	none	none
