tag	sid	agent	groups	skills
1-CN	ses_0ae7ae8efffezv44Oi5wpKGVTX	Orchestrator	none	none
1-EN	ses_0ae7aaa5dffex7NfFE1yOCDxmL	Orchestrator	none	none
10-CN	ses_0ae708dfeffeRCVVXvExuSu09n	Orchestrator	none	none
10-EN	ses_0ae7087e5ffehZgRY5SKbSuedS	Orchestrator	none	none
11-CN	ses_0ae7081ddffeffBOnUREzmNd4A	Orchestrator	source-edit	codegraph-first
11-EN	ses_0ae707bebffepZSww5LysTxs8h	Orchestrator	source-edit	codegraph-first
12-CN	ses_0ae7075c7ffeP1C8iOgEh0EkkO	Orchestrator	none	none
12-EN	ses_0ae706fabffePD8C5h7rm5aKph	Orchestrator	none	none
2-CN	ses_0ae7a6bcfffeUybpEIZb94Zy3D	Orchestrator	none	none
2-EN	ses_0ae7a2d3cffe9t3rtHGgg6TC4Z	Orchestrator	none	none
3-CN	ses_0ae79eeacffeHkM9G8X5VSb7gA	Orchestrator	none	none
3-EN	ses_0ae79b01dffeTs77aQ48ZW1HLX	Orchestrator	none	none
4-CN	ses_0ae797165ffeMItoWRfKsQrwZt	Orchestrator	none	none
4-EN	ses_0ae7932b8ffesM8uPAtdtOch8Y	Orchestrator	none	none
5-CN	ses_0ae78f429ffeaN17QHZdnIdTSN	Orchestrator	none	none
5-EN	ses_0ae78b59effewvlmeTSmiL8cGv	Orchestrator	none	none
6-CN	ses_0ae78770affeBuUZmCk8GoEJx6	Orchestrator	none	none
6-EN	ses_0ae78387bffebVY7MUYNwtRF0n	Orchestrator	none	none
7-CN	ses_0ae77f9ebffehkJuLLBve6je4Z	Orchestrator	none	none
7-EN	ses_0ae77bb5dffeCOQK80R4HjXR24	Orchestrator	none	none
8-CN	ses_0ae777cd8ffevYOPK5LoJqgCff	Orchestrator	none	none
8-EN	ses_0ae709feeffeNyie1FUI85pe1B	Orchestrator	cicd	ci-cd-guardrails,cross-directory-ci
9-CN	ses_0ae7099e7ffeXo219RztKixyEa	Orchestrator	none	none
9-EN	ses_0ae7093eaffeE9sdIs72t1ajeY	Orchestrator	dispatch-protocol	dispatch-protocol,multi-agent-orchestration
